,number,value,datetime_start,datetime_complete,duration,params_hidden,params_leave_layers,params_lr,params_weight_decay,state
0,0,0.8919270833333334,2023-02-07 12:42:52.871917,2023-02-07 13:04:36.891843,0 days 00:21:44.019926,1756,71,0.00375,0.0,COMPLETE
1,1,0.5533854166666666,2023-02-07 12:42:52.875188,2023-02-07 13:16:53.519812,0 days 00:34:00.644624,2791,61,0.115,4e-08,PRUNED
2,2,0.4108072916666667,2023-02-07 12:42:52.921125,2023-02-07 13:20:02.355883,0 days 00:37:09.434758,2373,101,0.075,4e-07,PRUNED
3,3,0.85546875,2023-02-07 12:42:52.934900,2023-02-07 13:16:39.917253,0 days 00:33:46.982353,1464,31,0.075,4e-07,COMPLETE
4,4,0.841796875,2023-02-07 12:42:52.949193,2023-02-07 13:02:28.981369,0 days 00:19:36.032176,1552,21,0.075,4e-07,COMPLETE
5,5,0.7600911458333334,2023-02-07 12:42:52.968878,2023-02-07 13:02:05.453725,0 days 00:19:12.484847,2214,1,0.15,4e-06,COMPLETE
6,6,0.8958333333333334,2023-02-07 12:42:52.995505,2023-02-07 13:21:54.156306,0 days 00:39:01.160801,1387,101,0.00375,4e-08,COMPLETE
7,7,0.8684895833333334,2023-02-07 12:42:53.015171,2023-02-07 13:28:20.649728,0 days 00:45:27.634557,1809,41,0.0125,4e-05,COMPLETE
8,8,0.18033854166666666,2023-02-07 13:02:05.510055,2023-02-07 13:18:09.141426,0 days 00:16:03.631371,1936,71,0.075,4e-05,PRUNED
9,9,0.5833333333333334,2023-02-07 13:02:29.037553,2023-02-07 13:13:05.965997,0 days 00:10:36.928444,2306,11,0.15,0.0,COMPLETE
10,10,,2023-02-07 13:04:36.918611,,,1789,51,0.0125,4e-06,RUNNING
11,11,0.09016927083333333,2023-02-07 13:13:05.995726,2023-02-07 13:17:20.674222,0 days 00:04:14.678496,2064,91,0.075,4e-08,PRUNED
12,12,0.10677083333333333,2023-02-07 13:16:39.947957,2023-02-07 13:18:27.936980,0 days 00:01:47.989023,2757,51,0.075,4e-07,PRUNED
13,13,0.7210286458333334,2023-02-07 13:16:53.542190,2023-02-07 13:24:29.786689,0 days 00:07:36.244499,2361,1,0.15,4e-08,PRUNED
14,14,0.7526041666666666,2023-02-07 13:17:20.691425,2023-02-07 13:25:14.495631,0 days 00:07:53.804206,2956,1,0.15,4e-08,PRUNED
15,15,0.103515625,2023-02-07 13:18:09.159425,2023-02-07 13:20:30.365686,0 days 00:02:21.206261,1724,71,0.15,4e-06,PRUNED
16,16,0.89453125,2023-02-07 13:18:27.952774,2023-02-07 13:59:44.291591,0 days 00:41:16.338817,2382,21,0.00375,4e-08,COMPLETE
17,17,0.8997395833333334,2023-02-07 13:20:02.410528,2023-02-07 13:35:09.825365,0 days 00:15:07.414837,1002,41,0.00375,0.0,COMPLETE
18,18,0.8922526041666666,2023-02-07 13:20:30.383112,2023-02-07 13:39:19.292455,0 days 00:18:48.909343,1033,31,0.00375,0.0,COMPLETE
19,19,0.8792317708333334,2023-02-07 13:21:54.188533,2023-02-07 13:43:04.134853,0 days 00:21:09.946320,1095,91,0.00375,0.0,COMPLETE
20,20,0.8795572916666666,2023-02-07 13:24:29.806457,2023-02-07 13:52:07.946294,0 days 00:27:38.139837,1004,91,0.00375,0.0,COMPLETE
21,21,0.884765625,2023-02-07 13:25:14.514406,2023-02-07 13:49:00.056050,0 days 00:23:45.541644,1015,91,0.00375,0.0,COMPLETE
22,22,0.9075520833333334,2023-02-07 13:28:20.680195,2023-02-07 14:12:02.343806,0 days 00:43:41.663611,1013,91,0.00375,0.0,COMPLETE
23,23,0.3639322916666667,2023-02-07 13:35:09.868631,2023-02-07 13:43:25.796728,0 days 00:08:15.928097,1024,91,0.00375,0.0,PRUNED
24,24,0.5651041666666666,2023-02-07 13:39:19.327868,2023-02-07 13:41:15.362537,0 days 00:01:56.034669,1057,91,0.00375,0.0,PRUNED
25,25,0.8990885416666666,2023-02-07 13:41:15.384015,2023-02-07 14:10:05.983819,0 days 00:28:50.599804,1291,51,0.00375,0.0,COMPLETE
26,26,0.9111328125,2023-02-07 13:43:04.162624,2023-02-07 14:09:08.854457,0 days 00:26:04.691833,1289,51,0.00375,4e-08,COMPLETE
27,27,0.10970052083333333,2023-02-07 13:43:25.813673,2023-02-07 13:44:42.415214,0 days 00:01:16.601541,1298,41,0.115,4e-08,PRUNED
28,28,0.8958333333333334,2023-02-07 13:44:42.431661,2023-02-07 14:06:19.587188,0 days 00:21:37.155527,1263,31,0.00375,0.0,COMPLETE
29,29,0.8919270833333334,2023-02-07 13:49:00.095881,2023-02-07 14:09:49.251230,0 days 00:20:49.155349,1228,31,0.00375,0.0,COMPLETE
30,30,0.8922526041666666,2023-02-07 13:52:07.976451,2023-02-07 14:13:20.246532,0 days 00:21:12.270081,1271,31,0.00375,0.0,COMPLETE
31,31,0.6328125,2023-02-07 13:59:44.329000,2023-02-07 14:01:10.657079,0 days 00:01:26.328079,1292,21,0.0125,4e-08,PRUNED
32,32,0.4153645833333333,2023-02-07 14:01:10.679947,2023-02-07 14:02:53.942526,0 days 00:01:43.262579,2542,51,0.00375,4e-08,PRUNED
33,33,0.8857421875,2023-02-07 14:02:53.962430,2023-02-07 14:19:35.355394,0 days 00:16:41.392964,1324,21,0.00375,4e-08,COMPLETE
34,34,0.8981119791666666,2023-02-07 14:06:19.629012,2023-02-07 14:27:41.213200,0 days 00:21:21.584188,1300,41,0.00375,4e-06,COMPLETE
35,35,0.12076822916666667,2023-02-07 14:09:08.893684,2023-02-07 14:10:47.943976,0 days 00:01:39.050292,1513,61,0.0125,4e-06,PRUNED
36,36,0.140625,2023-02-07 14:09:49.283971,2023-02-07 14:11:32.560351,0 days 00:01:43.276380,1479,61,0.0125,4e-05,PRUNED
37,37,0.1103515625,2023-02-07 14:10:06.016098,2023-02-07 14:11:52.800255,0 days 00:01:46.784157,1506,61,0.0125,4e-05,PRUNED
38,38,0.8876953125,2023-02-07 14:10:47.987214,2023-02-07 14:25:17.108641,0 days 00:14:29.121427,1433,41,0.00375,4e-05,COMPLETE
39,39,0.9036458333333334,2023-02-07 14:11:32.586856,2023-02-07 14:34:42.097487,0 days 00:23:09.510631,1651,51,0.00375,4e-08,COMPLETE
40,40,0.099609375,2023-02-07 14:11:52.829078,2023-02-07 14:13:36.370869,0 days 00:01:43.541791,1195,51,0.115,0.0,PRUNED
41,41,0.10970052083333333,2023-02-07 14:12:02.367782,2023-02-07 14:13:34.209804,0 days 00:01:31.842022,1182,51,0.115,0.0,PRUNED
42,42,0.9091796875,2023-02-07 14:13:20.287122,2023-02-07 14:48:38.968935,0 days 00:35:18.681813,1166,51,0.00375,0.0,COMPLETE
43,43,0.2776692708333333,2023-02-07 14:13:34.231310,2023-02-07 14:15:05.934104,0 days 00:01:31.702794,1637,41,0.00375,4e-07,PRUNED
44,44,0.6682942708333334,2023-02-07 14:13:36.384257,2023-02-07 14:15:27.199600,0 days 00:01:50.815343,1647,71,0.00375,4e-07,PRUNED
45,45,0.6956380208333334,2023-02-07 14:15:05.952316,2023-02-07 14:16:58.756022,0 days 00:01:52.803706,1415,81,0.00375,4e-06,PRUNED
46,46,0.89453125,2023-02-07 14:15:27.226479,2023-02-07 14:31:39.099238,0 days 00:16:11.872759,1392,41,0.00375,0.0,COMPLETE
47,47,0.87890625,2023-02-07 14:16:58.770919,2023-02-07 14:29:49.804862,0 days 00:12:51.033943,1398,41,0.00375,0.0,COMPLETE
48,48,0.19856770833333334,2023-02-07 14:19:35.393720,2023-02-07 14:30:10.117456,0 days 00:10:34.723736,1396,101,0.00375,4e-08,PRUNED
49,49,0.6305338541666666,2023-02-07 14:25:17.143218,2023-02-07 14:27:15.768470,0 days 00:01:58.625252,1141,101,0.00375,4e-08,PRUNED
50,50,0.681640625,2023-02-07 14:27:15.786498,2023-02-07 14:29:14.860815,0 days 00:01:59.074317,1373,101,0.00375,0.0,PRUNED
51,51,0.8958333333333334,2023-02-07 14:27:41.247479,2023-02-07 14:42:09.107891,0 days 00:14:27.860412,1134,41,0.00375,4e-06,COMPLETE
