,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_hidden,params_leave_layers,params_lr,params_weight_decay,state
0,0,,2023-02-08 02:03:57.131546,,,4,1160,1,,,RUNNING
1,1,,2023-02-08 02:03:57.143986,,,64,1800,20,,,RUNNING
2,2,,2023-02-08 02:03:57.168413,,,512,2140,99,,,RUNNING
3,3,,2023-02-08 02:03:57.187636,,,256,2840,10,,,RUNNING
4,4,,2023-02-08 02:03:57.206218,,,64,2680,7,,,RUNNING
5,5,,2023-02-08 02:03:57.230947,,,512,2980,91,,,RUNNING
6,6,,2023-02-08 02:03:57.254995,,,256,2640,15,,,RUNNING
7,7,,2023-02-08 02:03:57.270703,,,16,1380,93,,,RUNNING
8,8,0.8807,2023-02-08 02:04:08.874957,2023-02-08 03:13:47.988663,0 days 01:09:39.113706,64,1160,38,0.0125,4e-07,COMPLETE
9,9,0.8181,2023-02-08 02:04:08.903687,2023-02-08 04:26:10.556669,0 days 02:22:01.652982,16,2040,12,0.0125,0.0,PRUNED
10,10,0.7554,2023-02-08 02:04:08.920603,2023-02-08 02:28:32.149002,0 days 00:24:23.228399,512,1680,51,0.115,4e-07,COMPLETE
11,11,0.7954,2023-02-08 02:04:08.941870,2023-02-08 02:35:54.174022,0 days 00:31:45.232152,256,1340,35,0.075,4e-06,COMPLETE
12,12,0.7937,2023-02-08 02:04:08.956797,2023-02-08 03:11:45.626347,0 days 01:07:36.669550,64,1960,37,0.075,4e-08,COMPLETE
13,13,0.3116,2023-02-08 02:04:08.979177,2023-02-08 03:25:34.461143,0 days 01:21:25.481966,4,1980,72,0.075,4e-06,PRUNED
14,14,0.8649,2023-02-08 02:04:08.994392,2023-02-08 02:57:42.968390,0 days 00:53:33.973998,128,2820,69,0.0125,4e-08,COMPLETE
15,15,0.883,2023-02-08 02:04:09.010107,2023-02-08 02:23:51.770710,0 days 00:19:42.760603,512,1900,16,0.00375,4e-07,COMPLETE
16,16,0.3145,2023-02-08 02:23:51.806290,2023-02-08 03:34:19.926149,0 days 01:10:28.119859,4,2080,77,0.115,4e-07,PRUNED
17,17,0.548,2023-02-08 02:28:32.174533,2023-02-08 03:05:02.212917,0 days 00:36:30.038384,16,1860,73,0.0125,4e-07,PRUNED
18,18,0.5961,2023-02-08 02:35:54.217223,2023-02-08 02:53:48.886027,0 days 00:17:54.668804,256,2300,30,0.15,4e-05,COMPLETE
19,19,0.7587,2023-02-08 02:53:48.935392,2023-02-08 04:24:19.451531,0 days 01:30:30.516139,4,1580,31,0.0125,4e-07,PRUNED
20,20,0.5486,2023-02-08 02:57:43.008303,2023-02-08 03:00:20.720663,0 days 00:02:37.712360,256,1920,74,0.0125,4e-08,PRUNED
21,21,0.2622,2023-02-08 03:00:20.754010,2023-02-08 03:17:45.532309,0 days 00:17:24.778299,16,1040,90,0.075,4e-07,PRUNED
22,22,0.8362,2023-02-08 03:05:02.276898,2023-02-08 03:23:10.000951,0 days 00:18:07.724053,256,1780,67,0.00375,4e-08,COMPLETE
23,23,0.0998,2023-02-08 03:11:45.677614,2023-02-08 03:13:04.814115,0 days 00:01:19.136501,512,1000,99,0.075,0.0,PRUNED
24,24,0.5309,2023-02-08 03:13:04.837612,2023-02-08 03:57:33.082379,0 days 00:44:28.244767,4,1780,36,0.00375,4e-05,PRUNED
25,25,0.6693,2023-02-08 03:13:48.027944,2023-02-08 03:34:15.443863,0 days 00:20:27.415919,4,2400,0,0.00375,0.0,PRUNED
26,26,0.6985,2023-02-08 03:17:45.600867,2023-02-08 04:39:49.327758,0 days 01:22:03.726891,4,2340,0,0.00375,4e-07,PRUNED
27,27,0.6875,2023-02-08 03:23:10.041181,2023-02-08 04:10:50.514362,0 days 00:47:40.473181,4,2440,0,0.00375,4e-07,PRUNED
28,28,0.8067,2023-02-08 03:25:34.527046,2023-02-08 03:49:24.875929,0 days 00:23:50.348883,64,2520,0,0.00375,4e-07,COMPLETE
29,29,0.8625,2023-02-08 03:34:15.499533,2023-02-08 04:08:20.777758,0 days 00:34:05.278225,64,1420,10,0.00375,4e-07,COMPLETE
30,30,0.8602,2023-02-08 03:34:20.016983,2023-02-08 04:07:18.264943,0 days 00:32:58.247960,64,1460,9,0.00375,4e-07,COMPLETE
31,31,0.2305,2023-02-08 03:49:24.913655,2023-02-08 03:50:14.192447,0 days 00:00:49.278792,512,1480,17,0.15,4e-05,PRUNED
32,32,0.8684,2023-02-08 03:50:14.240687,2023-02-08 04:36:34.972485,0 days 00:46:20.731798,64,1320,17,0.0125,4e-07,COMPLETE
33,33,0.8768,2023-02-08 03:57:33.143491,2023-02-08 04:54:51.204391,0 days 00:57:18.060900,64,1440,20,0.0125,4e-07,COMPLETE
34,34,0.7159,2023-02-08 04:07:18.304260,2023-02-08 04:09:37.398708,0 days 00:02:19.094448,128,2980,53,0.0125,4e-07,PRUNED
35,35,0.7192,2023-02-08 04:08:20.812460,2023-02-08 04:13:37.248039,0 days 00:05:16.435579,128,1180,52,0.0125,4e-07,PRUNED
36,36,0.7369,2023-02-08 04:09:37.448046,2023-02-08 04:15:24.782938,0 days 00:05:47.334892,128,2860,24,0.0125,4e-08,PRUNED
37,37,0.6524,2023-02-08 04:10:50.540549,2023-02-08 04:40:09.652354,0 days 00:29:19.111805,128,2800,57,0.0125,4e-08,PRUNED
38,38,0.8498,2023-02-08 04:13:37.294066,2023-02-08 05:10:01.481429,0 days 00:56:24.187363,128,3000,62,0.0125,4e-08,COMPLETE
39,39,0.8707,2023-02-08 04:15:24.840536,2023-02-08 05:02:43.591172,0 days 00:47:18.750636,128,2620,46,0.0125,4e-08,COMPLETE
40,40,0.3623,2023-02-08 04:24:19.518829,2023-02-08 04:25:40.046577,0 days 00:01:20.527748,512,2200,61,0.0125,4e-08,PRUNED
41,41,0.8748,2023-02-08 04:25:40.086679,2023-02-08 05:12:12.207728,0 days 00:46:32.121049,128,2660,40,0.0125,4e-06,COMPLETE
42,42,0.4732,2023-02-08 04:26:10.599160,2023-02-08 04:29:27.849587,0 days 00:03:17.250427,128,2600,42,0.15,4e-06,PRUNED
43,43,0.5455,2023-02-08 04:29:27.919220,2023-02-08 04:35:24.919821,0 days 00:05:57.000601,64,2720,43,0.115,4e-08,PRUNED
44,44,0.87,2023-02-08 04:35:24.988113,2023-02-08 05:13:12.878087,0 days 00:37:47.889974,128,1200,22,0.0125,0.0,COMPLETE
45,45,0.7845,2023-02-08 04:36:35.000412,2023-02-08 04:46:02.610874,0 days 00:09:27.610462,64,1260,20,0.0125,0.0,PRUNED
46,46,0.8774,2023-02-08 04:39:49.361968,2023-02-08 05:34:38.405238,0 days 00:54:49.043270,64,1260,20,0.0125,0.0,COMPLETE
47,47,0.8717,2023-02-08 04:40:09.710308,2023-02-08 05:32:51.590297,0 days 00:52:41.879989,64,1260,19,0.0125,0.0,COMPLETE
48,48,0.6704,2023-02-08 04:46:02.667919,2023-02-08 04:47:05.840389,0 days 00:01:03.172470,512,1160,16,0.0125,4e-07,PRUNED
49,49,0.8671,2023-02-08 04:47:05.876545,2023-02-08 05:42:41.780263,0 days 00:55:35.903718,64,1280,26,0.0125,4e-06,COMPLETE
50,50,0.5371,2023-02-08 04:54:51.240441,2023-02-08 05:00:06.990178,0 days 00:05:15.749737,64,1320,26,0.115,4e-07,PRUNED
51,51,,2023-02-08 05:00:07.016766,,,64,1640,8,0.0125,4e-06,RUNNING
52,52,0.4685,2023-02-08 05:02:43.641445,2023-02-08 05:04:03.141619,0 days 00:01:19.500174,512,1620,44,0.0125,4e-06,PRUNED
53,53,0.7051,2023-02-08 05:04:03.169427,2023-02-08 05:28:28.094016,0 days 00:24:24.924589,16,2060,31,0.0125,4e-06,PRUNED
54,54,0.4609,2023-02-08 05:10:01.516324,2023-02-08 05:20:22.742347,0 days 00:10:21.226023,16,2160,31,0.115,4e-06,PRUNED
55,55,0.3499,2023-02-08 05:12:12.248112,2023-02-08 05:21:51.598622,0 days 00:09:39.350510,16,2120,31,0.115,4e-06,PRUNED
56,56,0.3868,2023-02-08 05:13:12.917115,2023-02-08 05:26:32.463603,0 days 00:13:19.546488,16,2220,48,0.0125,4e-06,PRUNED
57,57,0.7107,2023-02-08 05:20:22.808652,2023-02-08 05:23:53.853317,0 days 00:03:31.044665,64,2660,47,0.0125,4e-06,PRUNED
58,58,0.869,2023-02-08 05:21:51.654939,2023-02-08 06:26:25.963908,0 days 01:04:34.308969,64,2600,38,0.0125,4e-06,COMPLETE
59,59,0.7315,2023-02-08 05:23:53.899565,2023-02-08 05:25:55.854733,0 days 00:02:01.955168,128,2020,38,0.0125,4e-06,PRUNED
60,60,0.3027,2023-02-08 05:25:55.890334,2023-02-08 05:26:44.481626,0 days 00:00:48.591292,512,1780,6,0.15,4e-07,PRUNED
61,61,0.6071,2023-02-08 05:26:32.488622,2023-02-08 05:27:53.747209,0 days 00:01:21.258587,256,1100,7,0.075,4e-05,PRUNED
62,62,0.1493,2023-02-08 05:26:44.505321,2023-02-08 05:28:31.184640,0 days 00:01:46.679319,256,1080,39,0.075,4e-05,PRUNED
63,63,0.8831,2023-02-08 05:27:53.787942,2023-02-08 06:27:13.547828,0 days 00:59:19.759886,64,1600,27,0.0125,4e-07,COMPLETE
64,64,0.7512,2023-02-08 05:28:28.144622,2023-02-08 05:32:03.345052,0 days 00:03:35.200430,64,1680,27,0.075,4e-07,PRUNED
65,65,0.8771,2023-02-08 05:28:31.236074,2023-02-08 06:26:28.173790,0 days 00:57:56.937716,64,1560,27,0.0125,4e-07,COMPLETE
66,66,0.7512,2023-02-08 05:32:03.393290,2023-02-08 05:33:55.165671,0 days 00:01:51.772381,128,1560,22,0.0125,0.0,PRUNED
67,67,0.6686,2023-02-08 05:32:51.629408,2023-02-08 05:36:02.008685,0 days 00:03:10.379277,64,1540,14,0.0125,0.0,PRUNED
68,68,0.777,2023-02-08 05:33:55.208877,2023-02-08 05:37:39.544354,0 days 00:03:44.335477,64,1400,35,0.0125,0.0,PRUNED
69,69,0.6999,2023-02-08 05:34:38.450063,2023-02-08 05:37:46.131248,0 days 00:03:07.681185,64,1360,17,0.0125,0.0,PRUNED
70,70,0.9001,2023-02-08 05:36:02.066017,2023-02-08 06:35:25.173419,0 days 00:59:23.107402,64,1420,35,0.00375,0.0,COMPLETE
71,71,0.858,2023-02-08 05:37:39.601579,2023-02-08 06:21:48.296632,0 days 00:44:08.695053,64,1880,11,0.00375,0.0,COMPLETE
72,72,0.8612,2023-02-08 05:37:46.154531,2023-02-08 06:24:48.640668,0 days 00:47:02.486137,64,1240,12,0.00375,0.0,COMPLETE
73,73,0.8558,2023-02-08 05:42:41.813608,2023-02-08 06:22:19.771250,0 days 00:39:37.957642,64,1920,4,0.00375,0.0,COMPLETE
74,74,0.8982,2023-02-08 06:21:48.346035,2023-02-08 06:58:30.729448,0 days 00:36:42.383413,64,1120,35,0.00375,0.0,COMPLETE
75,75,0.2714,2023-02-08 06:22:19.799999,2023-02-08 06:23:15.767556,0 days 00:00:55.967557,512,1240,20,0.15,4e-07,PRUNED
76,76,0.8846,2023-02-08 06:23:15.834891,2023-02-08 07:00:13.803874,0 days 00:36:57.968983,64,1000,35,0.0125,4e-07,COMPLETE
77,77,0.8001,2023-02-08 06:24:48.678822,2023-02-08 06:27:13.659096,0 days 00:02:24.980274,128,1000,35,0.0125,4e-07,PRUNED
